   0.00 0.000000000e+00 0.000000000e+00 2.672441242e-02 3.198917500e-02
   0.20 -6.940333000e-03 -6.940333000e-03 2.033617398e-02 2.566478100e-02
   0.40 -1.499258800e-02 -1.499258800e-02 1.288679003e-02 1.827295900e-02
   0.60 -2.358810500e-02 -2.358810500e-02 4.949626034e-03 1.038424800e-02
   0.80 -3.217410900e-02 -3.217410900e-02 -2.921706873e-03 2.553616000e-03
   1.00 -4.027040300e-02 -4.027040300e-02 -1.024348701e-02 -4.737623000e-03
   1.20 -4.750462200e-02 -4.750462200e-02 -1.664467160e-02 -1.111621700e-02
   1.40 -5.361312000e-02 -5.361312000e-02 -2.186863235e-02 -1.631767900e-02
   1.60 -5.841426800e-02 -5.841426800e-02 -2.572208946e-02 -2.016101500e-02
   1.80 -6.178602800e-02 -6.178602800e-02 -2.809132037e-02 -2.252566900e-02
   2.00 -6.364348800e-02 -6.364348800e-02 -2.889464589e-02 -2.332894800e-02
   2.20 -6.392196600e-02 -6.392196600e-02 -2.806365112e-02 -2.250978800e-02
   2.40 -6.257866100e-02 -6.257866100e-02 -2.554459493e-02 -2.003024600e-02
   2.60 -5.961251900e-02 -5.961251900e-02 -2.138903207e-02 -1.589459800e-02
   2.80 -5.508419400e-02 -5.508419400e-02 -1.565275308e-02 -1.016864200e-02
   3.00 -4.913546100e-02 -4.913546100e-02 -8.456840018e-03 -2.999431000e-03
   3.20 -4.201843900e-02 -4.201843900e-02 -7.145857927e-05 5.354632000e-03
   3.40 -3.411302900e-02 -3.411302900e-02 9.117817740e-03 1.450681000e-02
   3.60 -2.591619400e-02 -2.591619400e-02 1.860516944e-02 2.395360900e-02
   3.80 -1.800726400e-02 -1.800726400e-02 2.780334781e-02 3.310938500e-02
   4.00 -1.099244700e-02 -1.099244700e-02 3.610085549e-02 4.136147700e-02
   4.20 -5.429204000e-03 -5.429204000e-03 4.293426189e-02 4.814579500e-02
   4.40 -1.743955000e-03 -1.743955000e-03 4.786381102e-02 5.302926700e-02
   4.60 -1.652030000e-04 -1.652030000e-04 5.066392248e-02 5.577685700e-02
   4.80 -6.900690000e-04 -6.900690000e-04 5.133317823e-02 5.638512900e-02
